,close,signal,nav
2010-01-01,3022.352136885506,0,
2010-01-04,3016.1022104695135,0,
2010-01-05,3045.4412058424937,1,1000000.0
2010-01-06,3115.0710653995625,1,1022363.6361206017
2010-01-07,3104.2055398586945,0,1018797.5800123765
2010-01-08,3093.397492419704,0,1018288.1812223704
2010-01-11,3166.786995647259,0,1018288.1812223704
2010-01-12,3203.3758942295913,0,1018288.1812223704
2010-01-13,3180.972669004318,0,1018288.1812223704
2010-01-14,3207.034192793277,1,1018288.1812223704
2010-01-15,3184.9355748727157,0,1010762.3481608639
2010-01-18,3162.8980467433084,0,1010256.9669867835
2010-01-19,3174.6074997295386,0,1010256.9669867835
2010-01-20,3083.748760197738,0,1010256.9669867835
2010-01-21,3004.2220105717274,0,1010256.9669867835
2010-01-22,2979.156313770554,0,1010256.9669867835
2010-01-25,2934.1841398875367,0,1010256.9669867835
2010-01-26,2948.3169390177404,0,1010256.9669867835
2010-01-27,2908.4809345498447,-1,1010256.9669867835
2010-01-28,2847.200381769029,0,1031037.556643025
2010-01-29,2910.1397407815757,0,1030522.0378647036
2010-02-01,2900.6536789395427,0,1030522.0378647036
2010-02-02,2903.9776000926704,0,1030522.0378647036
2010-02-03,2842.3197177946518,0,1030522.0378647036
2010-02-04,2819.522231737748,0,1030522.0378647036
2010-02-05,2824.639226140821,0,1030522.0378647036
2010-02-08,2776.315563129459,0,1030522.0378647036
2010-02-09,2792.413900657831,0,1030522.0378647036
2010-02-10,2767.7272398706455,0,1030522.0378647036
2010-02-11,2756.1014888622476,0,1030522.0378647036
2010-02-12,2731.72461543198,0,1030522.0378647036
2010-02-15,2808.133792377966,0,1030522.0378647036
2010-02-16,2808.1067295328353,0,1030522.0378647036
2010-02-17,2764.1124149601737,0,1030522.0378647036
2010-02-18,2798.7823518162004,1,1030522.0378647036
2010-02-19,2748.1187565125333,0,1011352.253229811
2010-02-22,2757.3236367565232,1,1010846.5771031961
2010-02-23,2676.885425663362,0,980852.163379168
2010-02-24,2624.165779870738,0,980361.7372974786
2010-02-25,2632.52955432059,0,980361.7372974786
2010-02-26,2662.3223791482505,0,980361.7372974786
2010-03-01,2669.8210620176565,1,980361.7372974786
2010-03-02,2665.8623074550765,0,978417.8966477611
2010-03-03,2654.5090811351315,-1,977928.6876994373
2010-03-04,2596.3377377947772,0,998870.2115233733
2010-03-05,2569.0031074132207,0,998370.7764176116
2010-03-08,2551.9597491398745,0,998370.7764176116
2010-03-09,2593.143305523448,0,998370.7764176116
2010-03-10,2607.2532973186508,0,998370.7764176116
2010-03-11,2539.0663217386236,0,998370.7764176116
2010-03-12,2552.167541292108,-1,998370.7764176116
2010-03-15,2538.202459464495,0,1003334.527674977
2010-03-16,2513.217223743954,0,1002832.8604111397
2010-03-17,2537.0703289053226,0,1002832.8604111397
2010-03-18,2577.1222050059628,0,1002832.8604111397
2010-03-19,2613.9663221680735,1,1002832.8604111397
