thscode,trade_date,close,open,high,low,pre_close,volume
000852.SH,2026-03-17,8060.52,8219.5,8223.99,8050.83,8211.35,244100570.0
000852.SH,2026-03-17,8063.02,8219.5,8223.99,8050.37,8211.35,247839310.0
000852.SH,2026-03-17,8063.02,8219.5,8223.99,8050.37,8211.35,247839310.0
000852.SH,2026-03-17,8063.13,8219.5,8223.99,8050.37,8211.35,247818290.0
000852.SH,2026-03-17,8062.49,8219.5,8223.99,8050.37,8211.35,247740410.0
000852.SH,2026-03-17,8062.49,8219.5,8223.99,8050.37,8211.35,247740410.0
000852.SH,2026-03-17,8062.51,8219.5,8223.99,8050.37,8211.35,247725410.0
000852.SH,2026-03-17,8062.32,8219.5,8223.99,8050.37,8211.35,247691530.0
000852.SH,2026-03-17,8062.15,8219.5,8223.99,8050.37,8211.35,247671010.0
000852.SH,2026-03-17,8054.55,8219.5,8223.99,8050.83,8211.35,245553670.0
000852.SH,2026-03-17,8054.76,8219.5,8223.99,8050.83,8211.35,245524090.0
000852.SH,2026-03-17,8054.76,8219.5,8223.99,8050.83,8211.35,245483420.0
000852.SH,2026-03-17,8054.71,8219.5,8223.99,8050.83,8211.35,245456160.0
000852.SH,2026-03-17,8054.94,8219.5,8223.99,8050.83,8211.35,245419560.0
000852.SH,2026-03-17,8061.84,8219.5,8223.99,8050.37,8211.35,247959410.0
000852.SH,2026-03-17,8054.96,8219.5,8223.99,8050.83,8211.35,245385570.0
000852.SH,2026-03-17,8055.43,8219.5,8223.99,8050.83,8211.35,245215820.0
000852.SH,2026-03-17,8055.09,8219.5,8223.99,8050.83,8211.35,245170190.0
000852.SH,2026-03-17,8057.82,8219.5,8223.99,8050.83,8211.35,244780130.0
000852.SH,2026-03-17,8060.33,8219.5,8223.99,8050.83,8211.35,244698030.0
000852.SH,2026-03-17,8060.97,8219.5,8223.99,8050.83,8211.35,244648420.0
000852.SH,2026-03-17,8063.0,8219.5,8223.99,8050.83,8211.35,244545540.0
000852.SH,2026-03-17,8062.9,8219.5,8223.99,8050.83,8211.35,244510670.0
000852.SH,2026-03-17,8062.79,8219.5,8223.99,8050.83,8211.35,244464110.0
000852.SH,2026-03-17,8062.22,8219.5,8223.99,8050.83,8211.35,244383690.0
000852.SH,2026-03-17,8062.38,8219.5,8223.99,8050.83,8211.35,244349020.0
000852.SH,2026-03-17,8061.86,8219.5,8223.99,8050.83,8211.35,244299500.0
000852.SH,2026-03-17,8061.74,8219.5,8223.99,8050.83,8211.35,244263470.0
000852.SH,2026-03-17,8061.26,8219.5,8223.99,8050.83,8211.35,244152100.0
000852.SH,2026-03-17,8055.32,8219.5,8223.99,8050.83,8211.35,245247240.0
000852.SH,2026-03-17,8061.56,8219.5,8223.99,8050.37,8211.35,247984360.0
