"date","AGG"
"2007-01-03","99.76"
"2007-01-04","99.98"
"2007-01-05","99.88"
"2007-01-08","99.87"
"2007-01-09","99.87"
"2007-01-10","99.77"
"2007-01-11","99.54"
"2007-01-12","99.43"
"2007-01-16","99.55"
"2007-01-17","99.42"
"2007-01-18","99.57"
"2007-01-19","99.49"
"2007-01-22","99.59"
"2007-01-23","99.43"
"2007-01-24","99.42"
"2007-01-25","99.16"
"2007-01-26","99.12"
"2007-01-29","99.09"
"2007-01-30","99.16"
"2007-01-31","99.41"
"2007-02-01","99.01"
"2007-02-02","99.10"
"2007-02-05","99.27"
"2007-02-06","99.45"
"2007-02-07","99.56"
"2007-02-08","99.60"
"2007-02-09","99.38"
"2007-02-12","99.31"
"2007-02-13","99.27"
"2007-02-14","99.67"
"2007-02-15","99.80"
"2007-02-16","99.86"
"2007-02-20","99.97"
"2007-02-21","99.93"
"2007-02-22","99.78"
"2007-02-23","100.00"
"2007-02-26","100.21"
"2007-02-27","100.67"
"2007-02-28","100.50"
"2007-03-01","100.10"
"2007-03-02","100.24"
"2007-03-05","100.24"
"2007-03-06","100.22"
"2007-03-07","100.38"
"2007-03-08","100.38"
"2007-03-09","100.05"
"2007-03-12","100.21"
"2007-03-13","100.47"
"2007-03-14","100.33"
"2007-03-15","100.29"
"2007-03-16","100.25"
"2007-03-19","100.20"
"2007-03-20","100.30"
"2007-03-21","100.49"
"2007-03-22","100.23"
"2007-03-23","100.12"
"2007-03-26","100.25"
"2007-03-27","100.17"
"2007-03-28","100.14"
"2007-03-29","100.09"
"2007-03-30","100.03"
"2007-04-02","99.69"
"2007-04-03","99.63"
"2007-04-04","99.69"
"2007-04-05","99.62"
"2007-04-09","99.34"
"2007-04-10","99.49"
"2007-04-11","99.46"
"2007-04-12","99.46"
"2007-04-13","99.38"
"2007-04-16","99.52"
"2007-04-17","99.76"
"2007-04-18","99.91"
"2007-04-19","99.88"
"2007-04-20","99.88"
"2007-04-23","100.01"
"2007-04-24","100.14"
"2007-04-25","100.04"
"2007-04-26","99.86"
"2007-04-27","99.80"
"2007-04-30","100.15"
"2007-05-01","99.72"
"2007-05-02","99.73"
"2007-05-03","99.60"
"2007-05-04","99.78"
"2007-05-07","99.85"
"2007-05-08","99.86"
"2007-05-09","99.69"
"2007-05-10","99.80"
"2007-05-11","99.70"
"2007-05-14","99.66"
"2007-05-15","99.58"
"2007-05-16","99.62"
"2007-05-17","99.43"
"2007-05-18","99.24"
"2007-05-21","99.35"
"2007-05-22","99.18"
"2007-05-23","99.06"
"2007-05-24","99.07"
"2007-05-25","99.06"
"2007-05-29","99.02"
"2007-05-30","99.03"
"2007-05-31","98.99"
"2007-06-01","98.30"
"2007-06-04","98.44"
"2007-06-05","98.24"
"2007-06-06","98.25"
"2007-06-07","97.67"
"2007-06-08","97.59"
"2007-06-11","97.58"
"2007-06-12","97.06"
"2007-06-13","97.28"
"2007-06-14","97.26"
"2007-06-15","97.53"
"2007-06-18","97.69"
"2007-06-19","97.97"
"2007-06-20","97.75"
"2007-06-21","97.55"
"2007-06-22","97.70"
"2007-06-25","98.00"
"2007-06-26","97.89"
"2007-06-27","98.03"
"2007-06-28","97.84"
"2007-06-29","98.21"
"2007-07-02","97.98"
"2007-07-03","97.78"
"2007-07-05","97.38"
"2007-07-06","97.18"
"2007-07-09","97.37"
"2007-07-10","97.87"
"2007-07-11","97.70"
"2007-07-12","97.54"
"2007-07-13","97.62"
"2007-07-16","97.89"
"2007-07-17","97.71"
"2007-07-18","97.99"
"2007-07-19","97.92"
"2007-07-20","98.17"
"2007-07-23","98.14"
"2007-07-24","98.16"
"2007-07-25","98.29"
"2007-07-26","98.66"
"2007-07-27","98.56"
"2007-07-30","98.75"
"2007-07-31","98.55"
"2007-08-01","98.18"
"2007-08-02","98.26"
"2007-08-03","98.56"
"2007-08-06","98.42"
"2007-08-07","98.42"
"2007-08-08","98.10"
"2007-08-09","98.28"
"2007-08-10","98.29"
"2007-08-13","98.30"
"2007-08-14","98.44"
"2007-08-15","98.35"
"2007-08-16","98.69"
"2007-08-17","98.58"
"2007-08-20","98.77"
"2007-08-21","99.01"
"2007-08-22","98.89"
"2007-08-23","98.97"
"2007-08-24","99.12"
"2007-08-27","99.19"
"2007-08-28","99.45"
"2007-08-29","99.31"
"2007-08-30","99.49"
"2007-08-31","99.27"
"2007-09-04","98.84"
"2007-09-05","99.31"
"2007-09-06","99.20"
"2007-09-07","99.87"
"2007-09-10","100.07"
"2007-09-11","99.85"
"2007-09-12","99.65"
"2007-09-13","99.37"
"2007-09-14","99.45"
"2007-09-17","99.48"
"2007-09-18","99.70"
"2007-09-19","99.66"
"2007-09-20","99.01"
"2007-09-21","99.24"
"2007-09-24","99.30"
"2007-09-25","99.33"
"2007-09-26","99.33"
"2007-09-27","99.60"
"2007-09-28","99.57"
"2007-10-01","99.26"
"2007-10-02","99.42"
"2007-10-03","99.42"
"2007-10-04","99.54"
"2007-10-05","99.05"
"2007-10-08","99.10"
"2007-10-09","99.09"
"2007-10-10","99.12"
"2007-10-11","99.14"
"2007-10-12","99.03"
"2007-10-15","99.16"
"2007-10-16","99.24"
"2007-10-17","99.71"
"2007-10-18","99.90"
"2007-10-19","100.32"
"2007-10-22","100.30"
"2007-10-23","100.34"
"2007-10-24","100.69"
"2007-10-25","100.60"
"2007-10-26","100.44"
"2007-10-29","100.53"
"2007-10-30","100.51"
"2007-10-31","100.11"
"2007-11-01","100.12"
"2007-11-02","100.37"
"2007-11-05","100.13"
"2007-11-06","99.93"
"2007-11-07","99.98"
"2007-11-08","100.13"
"2007-11-09","100.32"
"2007-11-12","100.36"
"2007-11-13","100.21"
"2007-11-14","100.23"
"2007-11-15","100.62"
"2007-11-16","100.57"
"2007-11-19","100.84"
"2007-11-20","100.76"
"2007-11-21","100.98"
"2007-11-23","101.13"
"2007-11-26","101.90"
"2007-11-27","101.43"
"2007-11-28","101.21"
"2007-11-29","101.51"
"2007-11-30","101.47"
"2007-12-03","101.37"
"2007-12-04","101.36"
"2007-12-05","101.26"
"2007-12-06","100.85"
"2007-12-07","100.24"
"2007-12-10","100.15"
"2007-12-11","100.89"
"2007-12-12","100.62"
"2007-12-13","100.30"
"2007-12-14","100.02"
"2007-12-17","100.23"
"2007-12-18","100.65"
"2007-12-19","100.90"
"2007-12-20","101.11"
"2007-12-21","100.52"
"2007-12-24","100.34"
"2007-12-26","100.08"
"2007-12-27","100.02"
"2007-12-28","100.56"
"2007-12-31","100.88"
"2008-01-02","101.54"
"2008-01-03","101.52"
"2008-01-04","101.77"
"2008-01-07","101.86"
"2008-01-08","101.82"
"2008-01-09","101.95"
"2008-01-10","101.62"
"2008-01-11","102.01"
"2008-01-14","102.13"
"2008-01-15","102.43"
"2008-01-16","102.31"
"2008-01-17","102.60"
"2008-01-18","102.57"
"2008-01-22","103.17"
"2008-01-23","103.38"
"2008-01-24","102.44"
"2008-01-25","102.80"
"2008-01-28","102.89"
"2008-01-29","102.63"
"2008-01-30","102.40"
"2008-01-31","102.70"
"2008-02-01","102.49"
"2008-02-04","102.38"
"2008-02-05","102.70"
"2008-02-06","102.55"
"2008-02-07","102.06"
"2008-02-08","102.34"
"2008-02-11","102.50"
"2008-02-12","102.22"
"2008-02-13","102.12"
"2008-02-14","101.53"
"2008-02-15","101.61"
"2008-02-19","101.06"
"2008-02-20","100.88"
"2008-02-21","101.58"
"2008-02-22","101.31"
"2008-02-25","100.84"
"2008-02-26","101.10"
"2008-02-27","101.33"
"2008-02-28","101.98"
"2008-02-29","102.67"
